sequence_id,movie_id,start_shot_idx,end_shot_idx,start_time_sec,end_time_sec,start_time_hms,end_time_hms,shot_count,total_sec,avg_shot_sec,utterance_count,active_speakers,active_speaker_count,speaker_changes,cast_pid_union,cast_count_max,match_source_counts,match_coverage,subtitle_preview,visual_action_score,camera_cue_count,gaze_verb_count,movement_cue_count,scene_heading_count,scene_boundary_count,script_action_preview,score
tt0032138_seq_0249_0253,tt0032138,249,253,2771.852,2790.621,00:46:11.852,00:46:30.621,5,18.769,3.754,8,"[""DOROTHY"", ""SCARECROW"", ""TIN MAN"", ""WITCH""]",4,1,"[""nm0000023"", ""nm0001961"", ""nm0002121"", ""nm0355095""]",3,"{""raw_dp"": 3, """": 2}",0.6,"...or l'll stuff a mattress with you! And you! I'll use you for a beehive! Here, scarecrow. Wanna play ball? [WlTCH CACKLlNG] [SCARECROW SCREAMS] [SCARECROW SCREAMS] Fire! I'm burning! l'm burning!",10.0,6,1,1,0,0,"MCS -- Tin Man, Dorothy and Scarecrow -- WITCH o.s. Well, stay away from her! CS -- Witch speaks, points at the Scarecrow o.s. -- MLS -- The Witch laughs -- sits on her broomstick in a position to fly away -- smoke fills the shot, obscuring Witch from sight -- Ext. Forrest -- CS -- Dorothy holding Toto in her arms -- watching o.s. LS -- Cloud of...",32.3218
tt0032138_seq_0213_0216,tt0032138,213,216,2374.914,2390.054,00:39:34.914,00:39:50.054,4,15.14,3.785,7,"[""DOROTHY"", ""FIRST TREE"", ""TREE""]",3,2,"[""nm0000023""]",1,"{""raw_dp"": 4}",1.0,Oh! Ouch! What do you think you're doing? We've been walking a long ways and l was hungry and-- Did you say something? Did you say something? -She was hungry! TREE: She was hungry!,10.0,5,1,2,0,0,"LS -- Dorothy and Scarecrow come forward along Yellow Brick Road -- CAMERA PULLS back to show Wicked Witch hiding behind tree at left -- she turns, exits to left -- Dorothy reacts as she sees the apple orchard at right - she goes up to one of the trees -- CAMERA STARTS TO BOOM forward on her -- MCU -- First Tree opens its ""mouth"" -- speaks to Do...",32.25
tt0032138_seq_0012_0015,tt0032138,12,15,240.449,250.834,00:04:00.449,00:04:10.834,4,10.385,2.596,5,"[""DOROTHY"", ""HICKORY"", ""ZEKE""]",3,3,"[""nm0000023"", ""nm0481618""]",1,"{""raw_dp"": 4}",1.0,"She ain't nothing to be afraid of. Have a little courage. DOROTHY: I'm not afraid of her. Next time she squawks, walk up to her and spit in her eye. -That's what I'd do. -Oh! Oh! -That's what I'd do. -Oh! Oh!",9.588,7,0,1,0,0,MCS -- Zeke poring feed into trough -- speaks -- MLS -- Dorothy walking along railing between pig pens -- MCS -- Zeke picks up another bucket of feed -- pours it into trough -- MCS -- Zeke reacts -- CAMERA PANS left as he jumps into pen -- takes Dorothy's foot out of wire -- then picks her up -- CAMERA PANS right as he carries her out of pen --...,31.3616
tt0032138_seq_0007_0009,tt0032138,7,9,186.436,193.985,00:03:06.436,00:03:13.985,3,7.549,2.516,4,"[""HICKORY"", ""HUNK"", ""UNCLE HENRY"", ""ZEKE""]",4,2,"[""nm0355095"", ""nm0481618"", ""nm0604656""]",2,"{""raw_dp"": 3}",1.0,ZEKE: How's she coming? HUNK: Take it easy. Ow! You got my finger! Get your finger out of the way.,9.75,4,0,5,0,0,MCS - Aunt Em and Uncle Henry taking chicks out of incubator - CS -- Hunk on ground -- gets finger caught under wagon bed -- reacts -- MLS -- Zeke and Hickory put wagon bed in place -- Hunk sitting on ground by wagon -- Dorothy enters -- comes forward to Zeke -- CAMERA TRUCKS forward on them -- they speak -- Zeke exits left f.g. -- Hunk enters -...,30.7559
tt0032138_seq_0646_0651,tt0032138,646,651,5695.273,5710.705,01:34:55.273,01:35:10.705,6,15.432,2.572,8,"[""DOROTHY"", ""TIN MAN"", ""WIZARD""]",3,1,"[""nm0000023"", ""nm0001961"", ""nm0355095"", ""nm0481618"", ""nm0604656"", ""others""]",3,"{""raw_dp"": 6}",1.0,"[BARKING] [CAT MEOWS] Oh, Toto! Come back! Toto! Oh, Toto! Come back! Toto! Oh, Toto! Come back! Toto! Don't go without me. I'll be right back. TIN MAN: Stop that dog! This is a highly irregular procedure. This is absolutely unprecedented!",8.75,6,0,1,0,0,"CU -- Toto in Dorothy's arms -- he barks at something o.s. -- People cheer o.s. WIZARD o.s. Thank you. MCU -- Oz woman with a cat in her arms -- MCU -- Toto barking in Dorothy's arms -- MCS -- Dorothy in basket of balloon -- Toto jumps from her arms -- she reacts, starts to climb out -- MLS -- Tin Man, Scarecrow and Lion on platform -- Wizard in...",30.675
tt0032138_seq_0304_0307,tt0032138,304,307,3279.151,3298.17,00:54:39.151,00:54:58.170,4,19.019,4.755,7,"[""DOROTHY"", ""LION"", ""SCARECROW""]",3,1,"[""nm0000023"", ""nm0001961"", ""nm0355095"", ""nm0481618""]",3,"{""raw_dp"": 4}",1.0,"There's Emerald City! There's Emerald City! Oh, we're almost there! At last! At last! It's beautiful, isn't it? Just like I knew it would be. He really must be a wonderful wizard to live in a city like that. Come on, what are we waiting for? SCARECROW: Nothing! Let's hurry! DOROTHY: Yes, let's run!",10.0,12,0,1,0,0,LS -- Poppy Field -- CAMERA PANS up -- then PANS left over field -- to edge of forest -- Dorothy -- Scarecrow -- Lion and Tin Man coming forward out of forest -- MCS -- Dorothy -- Lion -- Tin Man and Scarecrow all looking o.s. -- Dorothy speaks -- ELS -- Shooting over Poppy Field to towers of Emerald City -- Dorothy and Group in f.g. -- MCS -- D...,30.5802
tt0032138_seq_0583_0586,tt0032138,583,586,5179.132,5192.938,01:26:19.132,01:26:32.938,4,13.805,3.451,5,"[""DOROTHY"", ""SCARECROW"", ""WITCH""]",3,1,"[""nm0000023"", ""nm0001961"", ""nm0355095""]",2,"{""raw_dp"": 4}",1.0,"How about a little fire, Scarecrow? Help! I'm burning! l'm burning! It's burning! Help! WlTCH: Don't throw that water! [WlTCH SCREAMS] [WlTCH SCREAMS]",10.0,9,2,2,0,0,"CS -- Tin Man, Dorothy and Scarecrow -- Lion hiding behind the Tin Man -- all tremble with fear -- WITCH o.s. And the last to go will see the first three go before her! And your mangy little dog, too! MCU -- Witch smiles as she looks up o.s. -- CAMERA PANS up as she holds her broom up to the torch on wall -- CS -- The Four react with fear -- MCU...",30.4
tt0032138_seq_0487_0489,tt0032138,487,489,4664.41,4684.346,01:17:44.410,01:18:04.346,3,19.937,6.646,8,"[""DOROTHY"", ""WITCH""]",2,1,"[""nm0000023"", ""nm0002121""]",2,"{""raw_dp"": 3}",1.0,"He got away! He got away! Which is more than you will! Drat, you and your dog! You've been more trouble to me than you're worth. But it'll soon be over now! Do you see that? That's how much longer you've got to be alive. And it isn't long, my pretty. It isn't long!",10.0,13,1,9,0,0,LS -- Toto running forward down steps -- Nikko after him -- CAMERA PANS down to left with Toto -- MS -- Dorothy at window -- looking down o.s. -- Witch comes forward to her -- MLS -- Toto runs forward over drawbridge as bridge starts up -- CS -- Toto on edge of drawbridge -- looks down o.s. -- MLS -- Toto on edge of drawbridge -- Guards run forw...,29.9772
tt0032138_seq_0096_0099,tt0032138,96,99,1328.953,1345.553,00:22:08.953,00:22:25.553,4,16.6,4.15,7,"[""DOROTHY"", ""GLINDA""]",2,1,"[""nm0000023"", ""nm0000992""]",1,"{""raw_dp"": 2, """": 2}",0.5,"...and that's all that's left of the Wicked Witch of the East. What the Munchkins want to know is, are you a good witch or a bad witch? What the Munchkins want to know is, are you a good witch or a bad witch? But l've already told you, I'm not a witch at all. Witches are old and ugly. [MUNCHKlNS GlGGLE] What was that?",10.0,6,5,0,0,0,MCS -- Glinda and Dorothy -- they speak and look o.s. to l.f.g.-- MCU -- Dorothy looks to l.f.g. -- speaks -- reacts to noise o.s. -- MCS -- Wicked Witch of the East's feet protruding from under the farm house -- GLINDA o.s. ...that's left of the Wicked Witch of the East. MCU -- Dorothy looks o.s. to l.f.g. -- reacts -- GLINDA o.s. And so what t...,29.75
tt0032138_seq_0472_0474,tt0032138,472,474,4607.812,4620.699,01:16:47.812,01:17:00.699,3,12.888,4.296,5,"[""DOROTHY"", ""WITCH""]",2,1,"[""nm0000023"", ""nm0002121"", ""others""]",2,"{""raw_dp"": 3}",1.0,"Throw that basket in the river and drown him. No! Here. You can have your old slippers, but give me back Toto! That's a good little girl. I knew you'd see reason! [WlTCH SCREAMS]",10.0,5,2,4,0,0,MCS -- Dorothy reacts -- turns -- speaks to Witch -- CAMERA TRUCKS forward on them -- CAMERA PANS left as Witch crosses to Nikko -- speaks to him -- MLS -- Dorothy crying -- speaks to Witch -- then steps up on step -- Witch looks down at slippers on Dorothy's feet -- CS -- Slippers on Dorothy's feet -- the hands of the Witch reach in -- begin to...,28.9
tt0032138_seq_0311_0314,tt0032138,311,314,3308.889,3326.406,00:55:08.889,00:55:26.406,4,17.517,4.379,9,"[""DOROTHY"", ""SCARECROW""]",2,1,"[""nm0000023"", ""nm0001961"", ""nm0355095"", ""nm0481618""]",3,"{""raw_dp"": 2, """": 2}",0.5,"SCARECROW: Oh, look! TIN MAN: Come on! Come on! TIN MAN: Come on! Come on! SCARECROW: Look at the scenery. lt's wonderful! SCARECROW: Look at the scenery. lt's wonderful! Emerald City! [DOROTHY PANTING] Oh. What's happening? What is it?",9.75,7,0,1,0,0,MS -- Dorothy and Lion running thru poppies -- CAMERA TRUCKS right -- MS -- Dorothy running to right -- staggers a little - - slows down -- ELS -- Scarecrow and Tin Man running forward thru poppy field -- Lion in b.g. -- Dorothy enters in far b.g. -- Scarecrow and Tin Man stop on hill -- call and gesture MLS -- Dorothy running slowly to right --...,28.675
tt0032138_seq_0193_0195,tt0032138,193,195,2147.354,2167.04,00:35:47.354,00:36:07.040,3,19.686,6.562,9,"[""DOROTHY"", ""SCARECROW""]",2,1,"[""nm0000023"", ""nm0001961""]",2,"{""raw_dp"": 3}",1.0,"Oh, yes! SCARECROW: Whoops! -There goes some of me again! -Does it hurt you? Oh, no. l just keep picking it up and putting it back in again. My! lt's good to be free! My! lt's good to be free! [DOROTHY SCREAMING] Did I scare you? No, no. I just thought you hurt yourself.",7.5,4,0,2,0,0,"CS -- Dorothy starts to follow the Scarecrow's directions -- SCARECROW o.s. ...bend the nail down in the back, maybe I'll slip off and... MS -- The Scarecrow falls into scene -- Dorothy enters, questions him as he puts back some straw into his coat that had dropped out -- the Scarecrow rises, starts to whirl about -- MLS -- Dorothy screams as th...",28.069
tt0032138_seq_0542_0547,tt0032138,542,547,5060.097,5078.49,01:24:20.097,01:24:38.490,6,18.393,3.066,8,"[""LION"", ""TIN MAN"", ""WITCH""]",3,1,"[""nm0001961"", ""nm0002121"", ""nm0355095"", ""nm0481618""]",2,"{""raw_dp"": 4, """": 2}",0.6667,"[WlTCH CACKLlNG] Going so soon? I wouldn't hear of it. Going so soon? I wouldn't hear of it. Why, my little party's just beginning. Trapped. Trapped like mice...rats. [GUARDS GROWLlNG] [BARKING] [BARKING]",8.0,6,0,0,0,0,"MCS -- Scarecrow, Tin Man, Dorothy and the Lion by the door -- WITCH o.s. ...ty's just beginning! MLS -- Witch and Nikko at top of stairs -- she laughs -- CAMERA PANS down to reveal the Winkies rushing into the entrance hall -- MCS -- Scarecrow, Tin Man, Dorothy and Lion huddled by door -- the Lion speaks - - MCS - The Four huddled by door - Tin...",28.0013
tt0032138_seq_0623_0625,tt0032138,623,625,5459.496,5477.889,01:30:59.496,01:31:17.889,3,18.393,6.131,5,"[""LION"", ""WIZARD""]",2,1,"[""nm0001961"", ""nm0481618"", ""nm0604656""]",2,"{""raw_dp"": 3}",1.0,"...for meritorious conduct, extraordinary valor... ...conspicuous bravery against wicked witches... ...l award you the Triple Cross. You are now a member of the Legion of Courage. Shucks, folks, I'm speechless.",8.746,4,1,2,0,0,"MCU -- Lion -- shooting past the Wizard in the f.g. as he presents the medal to the beaming Lion -- MS -- Scarecrow, Tin Man and Dorothy watching as the Wizard presents the medal to the Lion -- MCU -- The Wizard leans forward and kisses the Lion -- the Lion reacts, speaks -- MS -- Dorothy, Tin Man, Scarecrow watch the Lion as he beams with joy o...",26.9567
tt0032138_seq_0630_0633,tt0032138,630,633,5521.975,5539.451,01:32:01.975,01:32:19.451,4,17.476,4.369,8,"[""LION"", ""WIZARD""]",2,1,"[""nm0000023"", ""nm0001961"", ""nm0355095"", ""nm0604656""]",4,"{""raw_dp"": 2, """": 2}",0.5,"...that a heart is not judged by how much you love... ...but by how much you are loved by others. Ah. [TlCKlNG] Oh! lt ticks! Listen! Look, it ticks! Read what my medal says. ""Courage."" Read what my medal says. ""Courage.""",6.5,3,1,0,0,0,"MCU -- Wizard -- shooting past the Tin Man in left f.g. MS -- Scarecrow, Lion, Dorothy react as the Tin Man shows them the watch -- the Wizard smiles as he watches them -- Lion points to his medal -- CS -- Tin Man -- shooting past the Wizard in right -- Dorothy standing at left -- the Tin Man listens to his watch, then holds it up to Dorothy's e...",26.75
tt0032138_seq_0152_0155,tt0032138,152,155,1842.507,1861.401,00:30:42.507,00:31:01.401,4,18.894,4.723,7,"[""GLINDA"", ""WITCH""]",2,1,"[""nm0000023"", ""nm0000992"", ""nm0002121""]",2,"{""raw_dp"": 3, """": 1}",0.75,"Just try! I'll get you, my pretty... I'll get you, my pretty... ...and your little dog too! [CACKLING] [MUNCHKlNS GASPlNG] It's all right. You can get up. She's gone!",8.5,5,0,2,0,0,"MCU -- Witch threatens Dorothy o.s. in f.g. -- MCU -- Dorothy and Glinda -- Dorothy reacts as the Witch laughs o.s. -- WITCH o.s. ...pretty, and your little dog, too! (laughs) MLS -- The Witch backs away from Dorothy and Glinda as the CAMERA BOOMS back -- she laughs menacingly -- the Munchkins hug the ground with fear -- the Witch disappears in...",26.301
tt0032138_seq_0148_0150,tt0032138,148,150,1810.934,1823.322,00:30:10.934,00:30:23.321,3,12.387,4.129,6,"[""GLINDA"", ""WITCH""]",2,1,"[""nm0000023"", ""nm0000992"", ""nm0002121""]",2,"{""raw_dp"": 3}",1.0,Give me back my slippers! Only I know how to use them. Give me back my slippers! Only I know how to use them. They're of no use to you. Give them back to me. Give them back! They're of no use to you. Give them back to me. Give them back! Keep tight inside of them. Their magic must be powerful... ...or she wouldn't want them so badly.,5.742,3,1,0,0,0,"WITCH o.s. Give me back my slippers! MCU -- Witch speaks to Dorothy o.s.-- MCU -- Dorothy and Glinda -- Glinda advises Dorothy -- WITCH o.s. Give them back! MS -- The Witch rises, threatens Dorothy -- Glinda laughs, speaks -- the Witch reacts, looks up o.s. -- then continues to threaten Dorothy --",25.1194
tt0032138_seq_0100_0102,tt0032138,100,102,1345.594,1361.443,00:22:25.594,00:22:41.443,3,15.849,5.283,7,"[""DOROTHY"", ""GLINDA""]",2,1,"[""nm0000023"", ""nm0000992""]",1,"{""raw_dp"": 2, """": 1}",0.6667,"The Munchkins. They're laughing because l am a witch. I'm Glinda, the Witch of the North. You are? Oh, l beg your pardon! But l've never heard of a beautiful witch before. But l've never heard of a beautiful witch before. Only bad witches are ugly.",5.525,2,2,0,0,0,MCU -- Glinda looks to r.f.g. and speaks -- MCU -- Dorothy looks to l.f.g. -- reacts -- speaks -- curtsies -- ...witch before.,24.0843
tt0032138_seq_0188_0190,tt0032138,188,190,2122.704,2138.386,00:35:22.704,00:35:38.386,3,15.682,5.227,5,"[""DOROTHY"", ""SCARECROW""]",2,2,"[""nm0000023"", ""nm0001961""]",1,"{""raw_dp"": 3}",1.0,"Oh, dear. That must be terribly uncomfortable. Can't you get down? Down? No, you see, I'm-- Well, l'm-- Oh, well, here. Let me help you. Oh, that's very kind of you. Very kind. Oh, dear. I don't see....",4.867,1,1,1,0,0,"MLS -- Dorothy standing in front of the Scarecrow -- the Scarecrow complains about his position -- MLS -- Scarecrow on pole -- Dorothy standing in front of him - - they speak -- she moves around to the back of the pole -- CS -- Dorothy examining the back of the Scarecrow as she tries to unfasten him -- MCU -- The Scarecrow reacts, looks down at...",23.7569
tt0032138_seq_0476_0479,tt0032138,476,479,4633.712,4650.729,01:17:13.712,01:17:30.729,4,17.017,4.254,5,"[""DOROTHY"", ""WITCH""]",2,1,"[""nm0000023"", ""nm0002121"", ""others""]",2,"{""raw_dp"": 4}",1.0,"...as long as you're alive. But that's not what's worrying me. It's how to do it. These things must be done delicately... ...or you hurt the spell. DOROTHY: Run, Toto, run! WlTCH: Catch him, you fool!",6.629,1,1,3,0,0,CS -- Slippers on Dorothy's feet -- the hands of the Witch reach in -- begin to tremble -- CS -- Witch jumps back -- Dorothy reacts -- Witch looks at her -- hands -- ...you're alive. CS -- Toto sticks his head out of basket -- WITCH o.s. ...or you hurt the spell. MS -- Witch and Dorothy -- Nikko standing by table in b.g. -- Toto jumps out of bas...,23.7403
tt0032138_seq_0200_0204,tt0032138,200,204,2173.254,2192.857,00:36:13.254,00:36:32.857,5,19.603,3.921,6,"[""DOROTHY"", ""SCARECROW""]",2,1,"[""nm0000023"", ""nm0001961""]",2,"{"""": 3, ""raw_dp"": 2}",0.4,"Boo! Scat! Boo! You see? l can't even scare a crow. They come from miles around just to eat in my field and laugh in my face. They come from miles around just to eat in my field and laugh in my face. Oh, l'm a failure, because I haven't got a brain! Well, what would you do with a brain if you had one?",6.171,4,0,1,0,0,"...around just to eat in my field and laugh in my face! MCU -- The Scarecrow -- MCU -- Dorothy reacts, speaks -- MCS -- Scarecrow and Dorothy -- shot favoring the Scarecrow -- they speak -- he begins to sing -- CAMERA PULLS back as he rolls down to the Yellow Brick Road -- Dorothy rises, moves to him -- holds him up as he starts to fall --",22.3525
